"filename", "language", "Markdown", "C", "Lex", "C++", "YACC", "comment", "blank", "total"
"/Users/bharaths/Downloads/S5-CD-Lab/Exp01/README.md", "Markdown", 2, 0, 0, 0, 0, 0, 1, 3
"/Users/bharaths/Downloads/S5-CD-Lab/Exp01/lex.yy.c", "C", 0, 1099, 0, 0, 0, 365, 323, 1787
"/Users/bharaths/Downloads/S5-CD-Lab/Exp01/pgm1.c", "C", 0, 90, 0, 0, 0, 13, 18, 121
"/Users/bharaths/Downloads/S5-CD-Lab/Exp01/pgm1.l", "Lex", 0, 0, 16, 0, 0, 0, 3, 19
"/Users/bharaths/Downloads/S5-CD-Lab/Exp02/README.md", "Markdown", 15, 0, 0, 0, 0, 0, 2, 17
"/Users/bharaths/Downloads/S5-CD-Lab/Exp02/count/lex.yy.c", "C", 0, 1082, 0, 0, 0, 361, 325, 1768
"/Users/bharaths/Downloads/S5-CD-Lab/Exp02/count/pgm2.4.l", "Lex", 0, 0, 19, 0, 0, 0, 4, 23
"/Users/bharaths/Downloads/S5-CD-Lab/Exp02/keywords/lex.yy.c", "C", 0, 1086, 0, 0, 0, 360, 326, 1772
"/Users/bharaths/Downloads/S5-CD-Lab/Exp02/keywords/pgm2.1.l", "Lex", 0, 0, 18, 0, 0, 0, 5, 23
"/Users/bharaths/Downloads/S5-CD-Lab/Exp02/uppercase/lex.yy.c", "C", 0, 1071, 0, 0, 0, 360, 325, 1756
"/Users/bharaths/Downloads/S5-CD-Lab/Exp02/uppercase/pgm2.2.l", "Lex", 0, 0, 17, 0, 0, 0, 4, 21
"/Users/bharaths/Downloads/S5-CD-Lab/Exp02/vowels/lex.yy.c", "C", 0, 1078, 0, 0, 0, 361, 324, 1763
"/Users/bharaths/Downloads/S5-CD-Lab/Exp02/vowels/pgm2.3.l", "Lex", 0, 0, 20, 0, 0, 0, 4, 24
"/Users/bharaths/Downloads/S5-CD-Lab/Exp03/README.md", "Markdown", 18, 0, 0, 0, 0, 0, 2, 20
"/Users/bharaths/Downloads/S5-CD-Lab/Exp03/calc/evalexp.l", "Lex", 0, 0, 16, 0, 0, 0, 3, 19
"/Users/bharaths/Downloads/S5-CD-Lab/Exp03/calc/evalexp.y", "YACC", 0, 0, 0, 0, 33, 0, 5, 38
"/Users/bharaths/Downloads/S5-CD-Lab/Exp03/calc/lex.yy.c", "C", 0, 1087, 0, 0, 0, 361, 323, 1771
